meeting details,Job profile,Job family,Overall experience(in years),Primary Skill,secondary Skill,certifications,Org Experience,TQ score,Language proficiency,Employment type (Full time/part time),Management level,Specialization,Trainings,Highest qualification,countrycode,Meeting required/optional,Email mention(yes/No),meeting type(series/instance),recent emails related to meeting invite(yes/No)
Agile scrum KT call,Talent Strategy Senior Manager,Software Engineering > Custom Software Engineering,22,Communications Development and Delivery,Angular,Azure,13,12,"english, hindi",full time,8-Associate Manager,SAP,Azure,mca,PH,required,yes,instance,yes
User login issue - client call,People Advisor Analyst,Software Engineering > Quality Engineering,13,Communications Development and Delivery,Agile Team Practices,Azure,15,11,"english, japanese",full time,6-Senior Manager,Cloud,dot net,mba,IN,optional,No,instance,yes
Agile scrum KT call,custom software engineering associate manager,Human Resources > Talent Strategy,1,Stakeholder Management,SAP for Utilities ,SAP,5,11,"english, french",full time,6-Senior Manager,project management,angular,btech,US,required,yes,instance,no
weekly status call ,Talent Strategy Senior Manager,Software Engineering > Quality Engineering Architecture,11,Advance Front End Development NodeJs,Vendor Management,management ,16,11,"english, german",full time,10-Senior Analyst,Cloud,google cloud,btech,CN,optional,yes,instance,no
Agile scrum KT call,People Advisor Analyst,Software Engineering > Custom Software Engineering,12,Applications Architecture,Architectural Design,Azure,12,5,"english, chinese",part time,12-Associate,AWS,dot net,btech,IN,required,No,instance,no
Java proect KT call,Quality Engineering Associate Manager,Software Engineering > Packaged Application Development,24,.NET Architecture,Microsoft Avanade Agile Framework (AAF),SAP,17,10,"english, hindi",full time,8-Associate Manager,AWS,SAP,btech,IN,optional,No,series,no
Java proect KT call,SW/App/Cloud Tech Support Assoc Manager,Training & Development > Business Interlock,22,Communications Development and Delivery,Microsoft Avanade Agile Framework (AAF),AWS,16,12,"english, japanese",full time,10-Senior Analyst,SAP,dot net,btech,PH,required,yes,instance,no
scrum call SAP project ,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,23,Business Operation Management,Jakarta Enterprise Beans,java,17,10,"english, hindi",full time,11-Analyst,Microsoft frontend,google cloud,btech,IN,required,No,instance,yes
Java proect KT call,Packaged App Development Analyst,Information Technology Operations > Software/Application/Cloud Tech Support,10,Microsoft Azure Machine Learning,Jakarta Enterprise Beans,AWS,17,8,"english, japanese",full time,12-Associate,Microsoft backend,angular,btech,IN,required,No,instance,yes
scrum call SAP project ,Quality Engineering Associate Manager,Software Engineering > Packaged Application Development,3,.NET Architecture,Amazon Web Services (AWS),management ,3,5,"english, hindi",full time,9-Team Lead/Consultant,Azure,SAP,mca,CN,required,No,series,no
java training call,Business Interlock Manager,Software Engineering > Quality Engineering,19,Business Operation Management,Architectural Design,front end,10,5,"english, chinese",full time,11-Analyst,Google cloud,Azure,mca,IN,optional,No,instance,yes
weekly status call ,Tech Architecture Manager,Training & Development > Business Interlock,16,Microsoft Functional Testing,Jakarta Enterprise Beans,Google cloud,1,11,"english, hindi",part time,10-Senior Analyst,AWS,SAP,mba,IN,optional,No,series,yes
User login issue - client call,custom software engineering analyst,Software Engineering > Quality Engineering,1,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),AWS,3,11,"english, chinese",full time,12-Associate,Google cloud,dot net,btech,IN,required,No,series,yes
Agile scrum KT call,Packaged App Development Analyst,Sourcing & Procurement Services > Vendor Management,12,Microsoft Azure Machine Learning,Candidate Relationship Management,java,12,8,"english, hindi",full time,12-Associate,Azure,management,btech,IN,optional,No,instance,no
Agile scrum KT call,Business Interlock Manager,Software Engineering > Custom Software Engineering,27,Communications Development and Delivery,Culture Strategy,Azure,19,8,"english, japanese",full time,11-Analyst,Microsoft frontend,google cloud,btech,IN,optional,No,instance,yes
Agile scrum KT call,Tech Architecture Manager,Training & Development > Business Interlock,21,ASP.NET MVC,Microsoft Avanade Agile Framework (AAF),front end,17,11,"english, hindi",full time,12-Associate,project management,SAP,btech,PH,required,No,instance,yes
Java proect KT call,custom software engineering analyst,Human Resources > People Advisor,28,Applications Architecture,Avanade Scrum Project Management,management ,1,12,"english, hindi",full time,12-Associate,Azure,Java,btech,PH,required,No,series,yes
weekly status call ,custom software engineering analyst,Human Resources > Talent Strategy,26,Microsoft Functional Testing,SAP for Utilities ,Scrum,8,11,"english, hindi",part time,7-Manager,Microsoft backend,SAP,mba,PH,required,No,series,yes
Java proect KT call,People Advisor Analyst,Software Engineering > Packaged Application Development,29,Automated Testing,Angular,Azure,10,10,"english, hindi",full time,11-Analyst,Google cloud,dot net,mba,US,optional,yes,instance,yes
Java proect KT call,custom software engineering analyst,Human Resources > People Advisor,3,Angular,Architectural Design,Selenium,3,8,"english, french",full time,9-Team Lead/Consultant,Azure,Java,mca,CN,optional,No,series,yes
troubleshooting call - login issue,Packaged App Development Analyst,Software Engineering > Custom Software Engineering,6,Applications Architecture,SAP for Utilities ,Azure,6,8,"english, japanese",full time,11-Analyst,Microsoft frontend,google cloud,mca,IN,optional,yes,instance,yes
Agile scrum KT call,Vendor Management Specialist,Software Engineering > Quality Engineering Architecture,24,Communications Development and Delivery,Amazon Web Services (AWS),front end,13,4,"english, chinese",full time,12-Associate,Azure,Azure,bca,PH,required,No,series,yes
people lead connect - discuss queries,Tech Architecture Manager,Software Engineering > Quality Engineering Architecture,27,Automated Testing,Jakarta Enterprise Beans,Google cloud,12,3,"english, french",full time,10-Senior Analyst,SAP,angular,btech,PH,required,No,series,yes
Test team status call,Vendor Management Specialist,Software Engineering > Custom Software Engineering,22,Business Operation Management,Amazon Web Services (AWS),AWS,7,11,"english, french",full time,8-Associate Manager,Azure,Azure,bca,IN,optional,No,series,yes
people lead connect - discuss queries,Custom Software Engineering Specialist,Technology & Information Architectures > Technology Architecture,26,ASP.NET MVC,Amazon Web Services (AWS),AWS,15,8,"english, hindi",full time,10-Senior Analyst,SAP,dot net,btech,IN,optional,No,series,yes
User login issue - client call,Quality Engineering Team Lead,Human Resources > Talent Strategy,24,Microsoft ASP.NET,Microsoft Avanade Agile Framework (AAF),management ,16,8,"english, german",part time,12-Associate,AWS,google cloud,mba,IN,optional,yes,instance,yes
Java proect KT call,Custom Software Engineering Specialist,Training & Development > Business Interlock,28,Automated Testing,Microsoft Avanade Agile Framework (AAF),management ,15,11,"english, french",part time,11-Analyst,SAP,google cloud,bca,IN,optional,No,instance,yes
User login issue - client call,Packaged App Development Analyst,Human Resources > People Advisor,14,Behavioral Sciences,Microsoft Avanade Agile Framework (AAF),front end,3,12,"english, french",part time,12-Associate,Azure,Azure,mba,PH,optional,No,series,no
weekly status call ,custom software engineering analyst,Software Engineering > Custom Software Engineering,10,Stakeholder Management,Angular,management ,6,8,"english, hindi",part time,11-Analyst,SAP,Azure,mba,IN,optional,yes,instance,yes
User login issue - client call,Packaged App Development Analyst,Technology & Information Architectures > Technology Architecture,26,Communications Development and Delivery,Quality Engineering Strategy Implementation,Azure,12,11,"english, japanese",full time,12-Associate,AWS,google cloud,bca,US,optional,yes,series,yes
User login issue - client call,SW/App/Cloud Tech Support Assoc Manager,Software Engineering > Quality Engineering Architecture,9,Microsoft ASP.NET,Agile Team Practices,management ,3,11,"english, hindi",full time,12-Associate,Cloud,Java,mba,SL,optional,No,instance,no
User login issue - client call,SW/App/Cloud Tech Support Assoc Manager,Human Resources > People Advisor,16,.NET Architecture,Microsoft Avanade Agile Framework (AAF),management ,15,12,"english, hindi",full time,10-Senior Analyst,SAP,management,bca,IN,optional,yes,series,yes
troubleshooting call - login issue,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,23,ASP.NET MVC,IT Troubleshooting,Azure,8,11,"english, german",full time,12-Associate,Cloud,angular,bca,IN,required,yes,series,yes
Agile scrum KT call,Vendor Management Specialist,Human Resources > Talent Strategy,12,Java Enterprise Edition,Microsoft Avanade Agile Framework (AAF),AWS,8,10,"english, hindi",part time,8-Associate Manager,Cloud,angular,btech,US,required,No,instance,yes
Test team status call,custom software engineering analyst,Software Engineering > Quality Engineering Architecture,13,SAP ABAP Development,Avanade Scrum Project Management,management ,14,8,"english, hindi",full time,8-Associate Manager,Microsoft frontend,management,btech,IN,optional,No,instance,yes
new vendor onboarding call,Custom Software Engineering Specialist,Information Technology Operations > Software/Application/Cloud Tech Support,29,Communications Development and Delivery,Culture Strategy,Selenium,12,12,"english, hindi",full time,12-Associate,Microsoft frontend,management,btech,IN,required,yes,series,no
weekly status call ,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,25,Java Enterprise Edition,Architectural Design,AWS,15,11,"english, french",full time,11-Analyst,Microsoft frontend,Azure,btech,PH,required,yes,series,yes
scrum call SAP project ,Vendor Management Specialist,Human Resources > People Advisor,12,Angular,SAP for Utilities ,management ,17,11,"english, japanese",full time,12-Associate,SAP,management,btech,US,required,No,series,yes
scrum call SAP project ,custom software engineering analyst,Software Engineering > Custom Software Engineering,7,Behavioral Sciences,IT Troubleshooting,AWS,4,12,"english, french",full time,10-Senior Analyst,AWS,dot net,mca,PH,optional,No,series,yes
people lead connect - discuss queries,Business Interlock Manager,Software Engineering > Custom Software Engineering,17,Java Enterprise Edition,Microsoft Avanade Agile Framework (AAF),Azure,9,11,"english, german",full time,11-Analyst,Azure,google cloud,mba,IN,required,No,series,yes
Agile scrum KT call,custom software engineering analyst,Software Engineering > Custom Software Engineering,18,.NET Architecture,Microsoft Avanade Agile Framework (AAF),AWS,18,12,"english, french",full time,7-Manager,Azure,angular,btech,PH,optional,yes,series,no
new vendor onboarding call,Custom Software Engineering Specialist,Software Engineering > Custom Software Engineering,21,.NET Architecture,Avanade Scrum Project Management,management ,2,10,"english, hindi",full time,12-Associate,AWS,SAP,btech,IN,optional,No,instance,yes
people lead connect - discuss queries,Quality Engineering Team Lead,Software Engineering > Custom Software Engineering,2,Microsoft Azure Machine Learning,Culture Strategy,management ,9,12,"english, chinese",full time,11-Analyst,Microsoft backend,management,btech,US,required,No,instance,yes
new vendor onboarding call,Talent Strategy Senior Manager,Human Resources > Talent Strategy,18,SAP ABAP Development,Microsoft Avanade Agile Framework (AAF),AWS,10,10,"english, french",part time,8-Associate Manager,Azure,management,mba,US,optional,No,instance,yes
people lead connect - discuss queries,Tech Architecture Manager,Software Engineering > Quality Engineering Architecture,27,Business Operation Management,Amazon Web Services (AWS),AWS,3,8,"english, japanese",full time,8-Associate Manager,Azure,management,btech,IN,optional,No,instance,no
